CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment_Level
AO-108104,1596,1,161,5,5,5,555,Platinum
PO-88653,2280,1,161,5,5,5,555,Platinum
MY-73801,2044,2,158,5,5,5,555,Platinum
TZ-114451,1754,2,158,5,5,5,555,Platinum
DL-33302,1800,1,156,5,5,5,555,Platinum
CC-24301,1947,1,154,5,5,5,555,Platinum
TZ-114452,1479,2,154,5,5,5,555,Platinum
RA-98852,2150,2,154,5,5,5,555,Platinum
WB-118502,2404,1,153,5,5,5,555,Platinum
DP-31652,2199,1,153,5,5,5,555,Platinum
LH-71552,1944,1,152,5,5,5,555,Platinum
MZ-75152,1997,1,150,5,5,5,555,Platinum
TD-109951,1555,1,150,5,5,5,555,Platinum
AC-4502,2014,2,147,5,5,5,555,Platinum
RB-96451,1570,1,147,5,5,5,555,Platinum
HA-49051,1562,1,146,5,5,5,555,Platinum
NH-186103,1583,1,146,5,5,5,555,Platinum
AR-4051,1471,2,144,5,5,5,555,Platinum
DE-32551,1615,2,142,5,5,5,555,Platinum
DM-29552,1803,1,139,5,5,5,555,Platinum
EM-40652,2333,1,139,5,5,5,555,Platinum
JS-55952,2312,1,138,5,5,5,555,Platinum
SM-109052,2077,1,136,5,5,5,555,Platinum
CM-21902,1881,1,134,5,5,5,555,Platinum
DN-36903,1688,1,133,5,5,5,555,Platinum
JP-55202,1738,1,133,5,5,5,555,Platinum
SC-106952,1521,1,133,5,5,5,555,Platinum
PB-192104,1783,2,133,5,5,5,555,Platinum
JK-56253,2325,1,132,5,5,5,555,Platinum
NB-86551,2191,2,131,5,5,5,555,Platinum
SO-103351,2311,1,130,5,5,5,555,Platinum
MH-76202,1857,1,129,5,5,5,555,Platinum
VP-117301,2103,1,129,5,5,5,555,Platinum
TG-113102,2366,1,128,5,5,5,555,Platinum
HL-50401,1781,2,127,5,5,5,555,Platinum
GH-44252,1941,1,127,5,5,5,555,Platinum
FC-43351,2327,1,126,5,5,5,555,Platinum
JH-59102,2084,1,125,5,5,5,555,Platinum
AF-8702,1860,1,125,5,5,5,555,Platinum
TW-110251,1871,2,125,5,5,5,555,Platinum
BG-10351,1695,1,124,5,5,5,555,Platinum
PC-90002,2098,1,120,5,5,5,555,Platinum
DB-132703,2216,3,118,5,5,5,555,Platinum
DL-129252,2507,1,117,5,5,5,555,Platinum
KN-63901,1850,1,117,5,5,5,555,Platinum
JK-60902,2253,1,116,5,5,5,555,Platinum
LB-67352,2014,1,114,5,5,5,555,Platinum
JP-54601,1481,1,113,5,5,5,555,Platinum
AH-4652,1893,2,112,5,5,5,555,Platinum
SC-103802,1699,2,110,5,5,5,555,Platinum
BW-12002,1479,1,109,5,5,5,555,Platinum
CJ-20102,1992,1,109,5,5,5,555,Platinum
BT-15301,1555,2,105,5,5,5,555,Platinum
EB-38702,1592,2,101,5,5,5,555,Platinum
MO-179501,1495,1,101,5,5,5,555,Platinum
CS-19503,1594,1,101,5,5,5,555,Platinum
EM-39602,2040,1,100,5,5,5,555,Platinum
NB-85802,2378,1,100,5,5,5,555,Platinum
HA-49201,1591,2,100,5,5,5,555,Platinum
MF-76652,2250,1,104,5,5,5,555,Platinum
NC-86252,2250,1,103,5,5,5,555,Platinum
CM-21602,2327,1,102,5,5,5,555,Platinum
JM-56553,1558,1,102,5,5,5,555,Platinum
Dp-32403,2264,1,98,5,5,5,555,Platinum
AB-1051,1497,2,97,5,5,5,555,Platinum
AZ-7502,1910,1,96,5,5,5,555,Platinum
LC-68852,1863,1,95,5,5,5,555,Platinum
TH-115502,1557,1,93,5,5,5,555,Platinum
GZ-45451,1500,1,92,5,5,5,555,Platinum
JF-52952,1607,1,90,5,5,5,555,Platinum
PO-91802,1690,2,88,5,5,5,555,Platinum
AR-105704,1629,1,88,5,5,5,555,Platinum
AH-1952,2335,1,88,5,5,5,555,Platinum
BP-11551,1514,1,87,5,5,5,555,Platinum
BM-11401,1465,2,86,5,5,5,555,Platinum
CV-128053,2033,1,84,5,5,5,555,Platinum
JG-58051,2024,1,81,5,5,5,555,Platinum
DK-29851,2301,1,81,5,5,5,555,Platinum
AS-106303,1723,1,80,5,5,5,555,Platinum
MG-78751,1498,1,80,5,5,5,555,Platinum
AH-1951,2146,2,80,5,5,5,555,Platinum
LH-171553,1829,2,78,5,5,5,555,Platinum
LF-171853,1570,2,76,5,5,5,555,Platinum
BG-16952,1575,1,76,5,5,5,555,Platinum
KH-65102,1596,2,72,5,5,5,555,Platinum
SS-108752,1958,2,67,5,5,5,555,Platinum
CC-26852,1601,1,65,5,5,5,555,Platinum
FH-43502,2250,1,65,5,5,5,555,Platinum
BP-12901,1464,1,65,5,5,5,555,Platinum
JH-54303,1726,1,66,5,5,5,555,Platinum
CB-24151,2501,1,64,5,5,5,555,Platinum
GZ-44702,2452,1,62,5,5,5,555,Platinum
LD-70051,2305,1,61,5,5,5,555,Platinum
TM-110101,1685,2,61,5,5,5,555,Platinum
HR-48302,1442,2,62,5,5,5,555,Platinum
SC-108001,1454,1,62,5,5,5,555,Platinum
DK-33752,2489,1,60,5,5,5,555,Platinum
RA-98851,1794,1,59,5,5,5,555,Platinum
MP-74701,1638,2,59,5,5,5,555,Platinum
MC-76352,1759,2,59,5,5,5,555,Platinum
JS-55951,2125,2,59,5,5,5,555,Platinum
VF-117152,2091,2,59,5,5,5,555,Platinum
TS-112052,2012,2,58,5,5,5,555,Platinum
PS-89701,2017,2,57,5,5,5,555,Platinum
MJ-77402,1468,2,56,5,5,5,555,Platinum
SG-100802,1738,1,56,5,5,5,555,Platinum
SS-105902,2332,1,56,5,5,5,555,Platinum
SA-108302,2286,1,55,5,5,5,555,Platinum
DW-31951,2242,1,55,5,5,5,555,Platinum
SC-107702,1736,1,55,5,5,5,555,Platinum
CL-18902,1653,1,53,5,5,5,555,Platinum
RM-97501,2285,1,53,5,5,5,555,Platinum
KH-66902,2366,1,52,5,5,5,555,Platinum
KE-64202,2375,1,51,5,5,5,555,Platinum
ML-77552,2383,1,51,5,5,5,555,Platinum
SS-105152,1769,2,51,5,5,5,555,Platinum
LT-67653,1815,1,57,5,5,5,555,Platinum
CC-124302,1771,1,57,5,5,5,555,Platinum
LS-69753,1935,1,49,5,5,5,555,Platinum
LR-69151,2340,1,49,5,5,5,555,Platinum
RE-194054,2193,1,48,5,5,5,555,Platinum
GD-45901,1481,1,46,5,5,5,555,Platinum
TS-110852,1513,1,46,5,5,5,555,Platinum
AH-753,1661,1,45,5,5,5,555,Platinum
RS-94203,2271,1,42,5,5,5,555,Platinum
ND-84602,1932,1,41,5,5,5,555,Platinum
EM-38251,2061,2,41,5,5,5,555,Platinum
CM-18152,1563,1,40,5,5,5,555,Platinum
RC-98251,1836,1,37,5,5,5,555,Platinum
CG-20401,1593,2,36,5,5,5,555,Platinum
BS-15901,1712,2,35,5,5,5,555,Platinum
JM-155353,2000,1,35,5,5,5,555,Platinum
BF-10052,1829,1,33,5,5,5,555,Platinum
CB-25352,1447,1,32,5,5,5,555,Platinum
GT-46352,1642,2,32,5,5,5,555,Platinum
CY-27452,2430,1,31,5,5,5,555,Platinum
RC-99602,1991,1,31,5,5,5,555,Platinum
DH-36752,2027,1,30,5,5,5,555,Platinum
AI-8551,1655,1,30,5,5,5,555,Platinum
AS-2252,1479,1,28,5,5,5,555,Platinum
SL-101552,1850,1,28,5,5,5,555,Platinum
JH-54302,2280,1,28,5,5,5,555,Platinum
PO-91952,1843,1,27,5,5,5,555,Platinum
SC-108002,1935,1,27,5,5,5,555,Platinum
RR-93151,1919,1,27,5,5,5,555,Platinum
AA-3752,1920,1,27,5,5,5,555,Platinum
SC-107701,1925,1,27,5,5,5,555,Platinum
DP-30002,2287,1,30,5,5,5,555,Platinum
KB-66002,1950,1,29,5,5,5,555,Platinum
NL-83102,1875,1,29,5,5,5,555,Platinum
CM-23852,2214,1,27,5,5,5,555,Platinum
HG-49653,1831,1,26,5,5,5,555,Platinum
MD-73502,1562,1,26,5,5,5,555,Platinum
MF-82501,1796,1,25,5,5,5,555,Platinum
CS-21302,2111,1,25,5,5,5,555,Platinum
LH-69002,2423,1,25,5,5,5,555,Platinum
BF-12751,2213,1,24,5,5,5,555,Platinum
AM-7052,1472,1,24,5,5,5,555,Platinum
LC-68853,1746,1,23,5,5,5,555,Platinum
SJ-101252,1606,1,23,5,5,5,555,Platinum
RD-199002,1592,1,23,5,5,5,555,Platinum
JS-159401,2174,1,22,5,5,5,555,Platinum
SJ-102152,2031,1,22,5,5,5,555,Platinum
JK-60903,2327,1,21,5,5,5,555,Platinum
MG-78901,1468,1,19,5,5,5,555,Platinum
JS-60303,1964,1,19,5,5,5,555,Platinum
AJ-7802,1668,1,19,5,5,5,555,Platinum
KC-66751,1815,1,19,5,5,5,555,Platinum
NM-84452,2014,1,18,5,5,5,555,Platinum
MC-76051,2369,1,18,5,5,5,555,Platinum
BW-11102,2380,1,17,5,5,5,555,Platinum
DB-32102,1677,1,17,5,5,5,555,Platinum
BM-16502,2248,1,17,5,5,5,555,Platinum
CJ-118754,1460,1,17,5,5,5,555,Platinum
MG-82052,1704,1,15,5,5,5,555,Platinum
ED-38852,1718,1,15,5,5,5,555,Platinum
RW-96302,1494,1,14,5,5,5,555,Platinum
DL-33301,2047,1,14,5,5,5,555,Platinum
TH-115503,2363,1,11,5,5,5,555,Platinum
SH-103953,1897,1,10,5,5,5,555,Platinum
AT-7351,2151,1,10,5,5,5,555,Platinum
AC-6602,1507,1,10,5,5,5,555,Platinum
EB-38401,1713,1,9,5,5,5,555,Platinum
TS-115052,1471,1,8,5,5,5,555,Platinum
Co-26402,1457,2,14,5,5,5,555,Platinum
EM-38252,2032,1,13,5,5,5,555,Platinum
RS-94202,1943,1,12,5,5,5,555,Platinum
KM-62251,1466,1,7,5,5,5,555,Platinum
TC-112953,1461,1,6,5,5,5,555,Platinum
TS-210854,1452,2,5,5,5,5,555,Platinum
LD-168554,1647,1,5,5,5,5,555,Platinum
AS-2401,2292,1,5,5,5,5,555,Platinum
LH-70202,2140,1,4,5,5,5,555,Platinum
BS-17552,1912,1,3,5,5,5,555,Platinum
KN-167052,2207,3,548,5,5,4,554,Platinum
DB-34051,1652,2,548,5,5,4,554,Platinum
EB-139303,1692,2,557,5,5,4,554,Platinum
CS-24002,1874,2,552,5,5,4,554,Platinum
DC-32851,1832,2,574,5,5,4,554,Platinum
HZ-149503,1583,2,571,5,5,4,554,Platinum
TC-112952,1593,1,569,5,5,4,554,Platinum
MS-75301,2032,1,569,5,5,4,554,Platinum
CM-119354,1803,2,565,5,5,4,554,Platinum
MV-74851,1565,2,636,5,5,4,554,Platinum
MC-76351,1999,2,634,5,5,4,554,Platinum
AA-103153,1789,2,633,5,5,4,554,Platinum
CM-27151,2048,3,629,5,5,4,554,Platinum
GM-45002,1466,2,628,5,5,4,554,Platinum
PJ-90151,1610,2,623,5,5,4,554,Platinum
JK-52051,2292,1,621,5,5,4,554,Platinum
PB-88052,1824,2,620,5,5,4,554,Platinum
SC-108451,1646,1,613,5,5,4,554,Platinum
JL-58501,1792,2,599,5,5,4,554,Platinum
AH-6902,1695,2,869,5,5,4,554,Platinum
GT-47102,1653,2,858,5,5,4,554,Platinum
LH-167502,1538,2,842,5,5,4,554,Platinum
BT-15302,1447,1,832,5,5,4,554,Platinum
TC-114752,1822,1,822,5,5,4,554,Platinum
KD-62701,1906,1,813,5,5,4,554,Platinum
PK-189102,1520,2,802,5,5,4,554,Platinum
NF-85951,1607,2,801,5,5,4,554,Platinum
SG-100801,1874,2,788,5,5,4,554,Platinum
DW-35403,2014,2,763,5,5,4,554,Platinum
SV-103651,1958,1,761,5,5,4,554,Platinum
SW-207554,1629,2,759,5,5,4,554,Platinum
SZ-100352,2285,3,756,5,5,4,554,Platinum
Co-26401,2186,3,755,5,5,4,554,Platinum
CA-27751,1572,2,742,5,5,4,554,Platinum
RH-195554,1614,2,740,5,5,4,554,Platinum
ES-40202,1520,1,735,5,5,4,554,Platinum
NG-84302,1534,1,728,5,5,4,554,Platinum
SN-105601,1475,2,729,5,5,4,554,Platinum
DP-33901,2349,2,714,5,5,4,554,Platinum
TB-112801,1964,2,710,5,5,4,554,Platinum
MO-79501,1758,1,712,5,5,4,554,Platinum
BE-13351,1962,2,705,5,5,4,554,Platinum
CC-24752,2433,1,701,5,5,4,554,Platinum
BF-10051,2441,1,699,5,5,4,554,Platinum
RF-93451,1509,2,688,5,5,4,554,Platinum
MM-80551,1697,2,686,5,5,4,554,Platinum
PM-91352,2091,2,684,5,5,4,554,Platinum
NF-84752,1915,1,676,5,5,4,554,Platinum
RR-95251,1664,2,675,5,5,4,554,Platinum
JL-51302,2037,1,666,5,5,4,554,Platinum
SG-104701,1513,1,666,5,5,4,554,Platinum
BG-116952,1478,1,662,5,5,4,554,Platinum
DB-32701,1626,1,662,5,5,4,554,Platinum
CC-26701,2010,2,658,5,5,4,554,Platinum
TS-111601,1962,1,646,5,5,4,554,Platinum
GH-144854,1482,2,1362,5,5,4,554,Platinum
TP-114152,2496,1,1344,5,5,4,554,Platinum
HH-50101,1558,1,1296,5,5,4,554,Platinum
GR-145604,2231,2,1285,5,5,4,554,Platinum
LT-67651,1709,2,1279,5,5,4,554,Platinum
BD-116052,1884,3,1268,5,5,4,554,Platinum
RH-95102,2061,3,1252,5,5,4,554,Platinum
DA-34501,2045,2,1237,5,5,4,554,Platinum
AS-451,1871,2,1234,5,5,4,554,Platinum
JP-55201,1678,1,1213,5,5,4,554,Platinum
VM-118351,1907,2,1209,5,5,4,554,Platinum
DW-31952,2158,3,1187,5,5,4,554,Platinum
JL-52351,1866,1,1186,5,5,4,554,Platinum
DB-29102,1593,2,1180,5,5,4,554,Platinum
JM-56552,1607,1,1164,5,5,4,554,Platinum
JR-156704,1688,2,1157,5,5,4,554,Platinum
MH-180251,2021,1,1129,5,5,4,554,Platinum
EB-137501,1457,2,1120,5,5,4,554,Platinum
CC-25502,2313,2,1112,5,5,4,554,Platinum
AH-102101,1565,2,1111,5,5,4,554,Platinum
VG-118052,1718,2,1107,5,5,4,554,Platinum
AA-4802,2032,1,1085,5,5,4,554,Platinum
PO-88501,1500,2,1076,5,5,4,554,Platinum
RP-93902,1611,2,1073,5,5,4,554,Platinum
MC-75902,2123,1,1073,5,5,4,554,Platinum
MA-75602,1955,3,1070,5,5,4,554,Platinum
PC-190004,1977,2,1062,5,5,4,554,Platinum
DP-131654,1907,2,1059,5,5,4,554,Platinum
SJ-101251,1487,2,1050,5,5,4,554,Platinum
SM-209054,1701,1,1044,5,5,4,554,Platinum
NH-86102,2034,1,1005,5,5,4,554,Platinum
CA-20551,2084,1,1002,5,5,4,554,Platinum
DL-33303,1950,1,989,5,5,4,554,Platinum
JD-57901,1792,2,959,5,5,4,554,Platinum
TB-116251,2048,2,956,5,5,4,554,Platinum
DN-36902,1529,1,949,5,5,4,554,Platinum
KT-64651,2229,2,939,5,5,4,554,Platinum
KD-64951,1493,2,938,5,5,4,554,Platinum
JL-55051,1781,1,927,5,5,4,554,Platinum
BD-116053,2086,3,926,5,5,4,554,Platinum
VW-117751,1502,1,925,5,5,4,554,Platinum
LC-71402,2251,1,922,5,5,4,554,Platinum
CP-23402,2174,1,909,5,5,4,554,Platinum
CC-24302,1566,1,889,5,5,4,554,Platinum
JO-152802,1495,1,886,5,5,4,554,Platinum
CP-20852,1512,1,885,5,5,4,554,Platinum
KM-62252,1585,2,884,5,5,4,554,Platinum
RW-95402,2300,3,878,5,5,4,554,Platinum
CS-21303,1621,1,877,5,5,4,554,Platinum
SB-201703,1723,2,874,5,5,4,554,Platinum
NB-185802,1733,2,1409,5,5,3,553,Gold
FM-142902,1887,3,1407,5,5,3,553,Gold
JL-58502,1881,2,1405,5,5,3,553,Gold
FM-42151,1563,2,1994,5,5,3,553,Gold
NP-186703,1513,2,1860,5,5,3,553,Gold
RH-96002,2002,1,1826,5,5,3,553,Gold
SS-104102,1469,1,1799,5,5,3,553,Gold
TB-114001,2006,2,1761,5,5,3,553,Gold
VT-217004,2095,2,1736,5,5,3,553,Gold
LM-170652,1484,2,1687,5,5,3,553,Gold
EP-139153,1676,1,1686,5,5,3,553,Gold
JD-61501,1561,1,1679,5,5,3,553,Gold
CS-24902,1592,2,1650,5,5,3,553,Gold
SC-102302,2494,1,1619,5,5,3,553,Gold
RM-93752,1979,3,1532,5,5,3,553,Gold
PG-88952,2033,3,1500,5,5,3,553,Gold
BT-116802,2129,2,1499,5,5,3,553,Gold
JR-56701,1696,2,1480,5,5,3,553,Gold
DB-36602,1906,2,1479,5,5,3,553,Gold
VP-117602,1512,1,1463,5,5,3,553,Gold
EB-38402,2354,1,1444,5,5,3,553,Gold
PK-189104,1578,2,1441,5,5,3,553,Gold
SC-106801,1600,2,2511,5,5,3,553,Gold
RF-93453,1638,2,2506,5,5,3,553,Gold
CS-118601,1606,2,2474,5,5,3,553,Gold
DW-34802,1589,2,2469,5,5,3,553,Gold
RP-98551,1557,2,2342,5,5,3,553,Gold
TR-113251,1492,2,2272,5,5,3,553,Gold
BF-10802,2010,1,2183,5,5,3,553,Gold
AB-151,1507,2,2125,5,5,3,553,Gold
SH-206354,1860,2,2096,5,5,3,553,Gold
AG-5252,1823,1,2067,5,5,3,553,Gold
TA-113852,1947,2,2594,5,5,2,552,Silver
RH-94951,1516,1,2833,5,5,2,552,Silver
BC-111251,2063,2,2829,5,5,2,552,Silver
EB-37051,1493,2,2720,5,5,2,552,Silver
DB-33601,1529,2,3691,5,5,2,552,Silver
RA-192851,1594,2,3278,5,5,2,552,Silver
JK-57302,1936,3,3097,5,5,2,552,Silver
AH-2101,1975,2,3090,5,5,2,552,Silver
MC-72752,1467,2,2979,5,5,2,552,Silver
RE-194503,1562,2,2970,5,5,2,552,Silver
HM-49801,1618,2,4068,5,5,2,552,Silver
AB-6002,1970,2,4027,5,5,2,552,Silver
VT-217003,1452,2,4026,5,5,2,552,Silver
GA-145151,1634,2,3985,5,5,2,552,Silver
NW-84001,2334,1,5100,5,5,1,551,Bronze
FH-142751,1473,2,5052,5,5,1,551,Bronze
SP-106501,1492,3,431,5,4,5,545,Platinum
KN-167053,1758,4,441,5,4,5,545,Platinum
TZ-114453,1463,3,434,5,4,5,545,Platinum
JB-154001,1479,3,432,5,4,5,545,Platinum
TT-212654,1501,3,439,5,4,5,545,Platinum
SG-108901,1495,3,459,5,4,5,545,Platinum
MH-80251,1753,3,451,5,4,5,545,Platinum
HJ-148753,1635,4,451,5,4,5,545,Platinum
KW-165704,1866,4,449,5,4,5,545,Platinum
MC-81302,1807,3,480,5,4,5,545,Platinum
MS-175304,1529,4,476,5,4,5,545,Platinum
DH-30752,1584,4,476,5,4,5,545,Platinum
CR-126254,1565,3,475,5,4,5,545,Platinum
CC-21452,1599,3,486,5,4,5,545,Platinum
CG-20402,1473,3,483,5,4,5,545,Platinum
MC-174252,1536,4,526,5,4,5,545,Platinum
CH-20701,1569,3,528,5,4,5,545,Platinum
MK-181603,1751,4,539,5,4,5,545,Platinum
KS-63001,1566,3,113,5,4,5,545,Platinum
TB-113552,1547,3,128,5,4,5,545,Platinum
PW-92402,1660,3,140,5,4,5,545,Platinum
AR-105403,1510,3,157,5,4,5,545,Platinum
DA-134504,1447,4,157,5,4,5,545,Platinum
BT-14851,1552,3,174,5,4,5,545,Platinum
TH-115501,1484,3,181,5,4,5,545,Platinum
EN-37801,1459,4,179,5,4,5,545,Platinum
NM-84451,1461,3,191,5,4,5,545,Platinum
AS-2253,1765,3,189,5,4,5,545,Platinum
TT-114601,1456,4,189,5,4,5,545,Platinum
NC-83403,1564,3,199,5,4,5,545,Platinum
SC-100952,1706,3,203,5,4,5,545,Platinum
JK-53251,1555,3,203,5,4,5,545,Platinum
MW-82201,1607,4,224,5,4,5,545,Platinum
SG-100803,1464,3,235,5,4,5,545,Platinum
AR-5402,1492,4,236,5,4,5,545,Platinum
KB-64051,1482,3,239,5,4,5,545,Platinum
